index,name,fold_id,sgy_path,fb_path,NumberOfTrace,NumberOfLabeledTrace,SamplingRate,metadata_status
1,2017_JCCS_noshiro_V-1,fold05,/home/dcuser/data/ActiveSeisField/2017_JCCS_noshiro_V-1/profiled-shot_2017V-1.sgy,/home/dcuser/data/ActiveSeisField/2017_JCCS_noshiro_V-1/fb_merge_2017V-1.npy,356022,129059,2,provided
2,2017_JCCS_noshiro_V-2,fold05,/home/dcuser/data/ActiveSeisField/2017_JCCS_noshiro_V-2/profiled-shot_2017V-2.sgy,/home/dcuser/data/ActiveSeisField/2017_JCCS_noshiro_V-2/fb_merge_2017V-2.npy,592280,124080,2,provided
3,DAIDAITOKU04_Kouga,fold00,/home/dcuser/data/ActiveSeisField/DAIDAITOKU04_Kouga/DAIDAITOKU04_Kouga_shotgather_rectified.sgy,/home/dcuser/data/ActiveSeisField/DAIDAITOKU04_Kouga/kouga_fbtime.npy,,,,missing_from_user_table
4,DAIDAITOKU04_Oosaka,fold00,/home/dcuser/data/ActiveSeisField/DAIDAITOKU04_Oosaka/DAIDAITOKU04_Oosaka_shotgather_rectified.sgy,/home/dcuser/data/ActiveSeisField/DAIDAITOKU04_Oosaka/oosaka_fbtime.npy,,,,missing_from_user_table
5,DAIDAITOKU04_refraction,fold00,/home/dcuser/data/ActiveSeisField/DAIDAITOKU04_refraction/DAIDAITOKU04_Refraction_shotgather_rectified.sgy,/home/dcuser/data/ActiveSeisField/DAIDAITOKU04_refraction/refraction_fbtime.npy,,,,missing_from_user_table
6,DAIDAITOKU_Suzuka,fold00,/home/dcuser/data/ActiveSeisField/DAIDAITOKU_Suzuka/DAIDAITOKU04_Suzuka_shotgather_rectified.sgy,/home/dcuser/data/ActiveSeisField/DAIDAITOKU_Suzuka/suzuka_fbtime.npy,,,,missing_from_user_table
7,SouthIzu2015_A-line,fold01,/home/dcuser/data/ActiveSeisField/SouthIzu2015_A-line/A-line_shot.sgy,/home/dcuser/data/ActiveSeisField/SouthIzu2015_A-line/fb_LineA.npy,91008,20755,1,provided
8,SouthIzu2015_B-line,fold01,/home/dcuser/data/ActiveSeisField/SouthIzu2015_B-line/B-line_shot.sgy,/home/dcuser/data/ActiveSeisField/SouthIzu2015_B-line/fb_LineB.npy,58944,24232,1,provided
9,Tachikawa2012,fold03,/home/dcuser/data/ActiveSeisField/Tachikawa2012/shot-integra-geom_3D.sgy,/home/dcuser/data/ActiveSeisField/Tachikawa2012/fb_All_0417.npy,4010687,394955,2,provided
10,Tachikawa2014,fold03,/home/dcuser/data/ActiveSeisField/Tachikawa2014/Tachikawa2014_Shot-Record_Line2.sgy,/home/dcuser/data/ActiveSeisField/Tachikawa2014/fb_Line2_rough.npy,122331,53483,2,provided
11,aso18-1,fold03,/home/dcuser/data/ActiveSeisField/aso18-1/input_TRCTAB_ml_fbpick_Aso18-1.sgy,/home/dcuser/data/ActiveSeisField/aso18-1/fb_1227_Aso18-1.npy,55123,21457,2,provided
12,aso18-2,fold03,/home/dcuser/data/ActiveSeisField/aso18-2/input_TRCTAB_ml_fbpick_Aso18-2_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso18-2/fb_ml_prediction_rev.npy,63360,26934,2,provided
13,aso18-2H,fold03,/home/dcuser/data/ActiveSeisField/aso18-2H/input_TRCTAB_ml_fbpick_Aso18-2H_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso18-2H/fb_ml_prediction_rev_0218.npy,400500,165139,2,provided
14,aso19-1,fold03,/home/dcuser/data/ActiveSeisField/aso19-1/input_TRCTAB_ml_fbpick_Aso19-1_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso19-1/fb_Aso19-1.npy,322300,101110,2,provided
15,aso19-2,fold03,/home/dcuser/data/ActiveSeisField/aso19-2/input_TRCTAB_ml_fbpick_Aso19-2_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso19-2/fb_Aso19-2.npy,291500,57971,2,provided
16,aso19-3H,fold03,/home/dcuser/data/ActiveSeisField/aso19-3H/input_TRCTAB_ml_fbpick_Aso19-3H_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso19-3H/fb_Aso19-3H_okuda0210.npy,557752,129790,2,provided
17,aso19-4H,fold03,/home/dcuser/data/ActiveSeisField/aso19-4H/input_TRCTAB_ml_fbpick_Aso19-4H_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso19-4H/fb_Aso19-4H.npy,253622,35447,2,provided
18,horonobe2020,fold01,/home/dcuser/data/ActiveSeisField/horonobe2020/fdata_hset_Horo20-3D.sgy,/home/dcuser/data/ActiveSeisField/horonobe2020/Horo20-3D_FB.npy,2151413,1368012,2,provided
19,iwaki2012_Line2,fold05,/home/dcuser/data/ActiveSeisField/iwaki2012_Line2/Line2_Deep_Geom.sgy,/home/dcuser/data/ActiveSeisField/iwaki2012_Line2/fb.Line2D.npy,103435,99144,4,provided
20,iwaki2012_Line3,fold05,/home/dcuser/data/ActiveSeisField/iwaki2012_Line3/Line3_Geom.sgy,/home/dcuser/data/ActiveSeisField/iwaki2012_Line3/fb.Line3_002.npy,148896,58726,2,provided
21,jtknzw_kana22,fold04,/home/dcuser/data/ActiveSeisField/jtknzw_kana22/AIRAS_TRCTAB_kanazawa_wolmo.sgy,/home/dcuser/data/ActiveSeisField/jtknzw_kana22/jtknzw-refl_fb.npy,448140,62310,4,provided
22,jtsanage_L1ER,fold04,/home/dcuser/data/ActiveSeisField/jtsanage_L1ER/AIRAS_TRCTAB_L1ER-SNG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/jtsanage_L1ER/L1ER-SNG_fb_0609.npy,143632,72814,1,provided
23,jtsanage_L1K-SNG,fold04,/home/dcuser/data/ActiveSeisField/jtsanage_L1K-SNG/AIRAS_TRCTAB_L1K-SNG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/jtsanage_L1K-SNG/L1K-SNG_fb_1216.npy,23226,17825,1,provided
24,jtsanage_L2R,fold04,/home/dcuser/data/ActiveSeisField/jtsanage_L2R/AIRAS_TRCTAB_L2R-SNG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/jtsanage_L2R/L2R_SNG_fb.crd.npy,146358,95530,1,provided
25,jtsanage_L3K,fold04,/home/dcuser/data/ActiveSeisField/jtsanage_L3K/AIRAS_TRCTAB_L3K-SNG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/jtsanage_L3K/L3K_SNG_fb.npy,16926,13303,1,provided
26,jtsanage_L3R,fold04,/home/dcuser/data/ActiveSeisField/jtsanage_L3R/AIRAS_TRCTAB_L3R-SN_wolmoG.sgy,/home/dcuser/data/ActiveSeisField/jtsanage_L3R/L3R-SNG_fb.npy,293384,158150,1,provided
27,kego2013_Chumitsu,fold04,/home/dcuser/data/ActiveSeisField/kego2013_Chumitsu/02_2013Kego-fault_Chumitsu_Shot-record.sgy,/home/dcuser/data/ActiveSeisField/kego2013_Chumitsu/02_fb-time_rough.npy,254592,110779,4,provided
28,kego2013_Hireso,fold04,/home/dcuser/data/ActiveSeisField/kego2013_Hireso/01_2013Kego-fault_HiReso_Shot-record.sgy,/home/dcuser/data/ActiveSeisField/kego2013_Hireso/01_fb-time_HiReso_for_Tomo2.npy,28728,26707,2,provided
29,kks22-2,fold00,/home/dcuser/data/ActiveSeisField/kks22-2/0151_iras_AI_trctab_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kks22-2/fbout_iras.npy,7741800,1228967,4,provided
30,kks22-3,fold00,/home/dcuser/data/ActiveSeisField/kks22-3/0151_iras_AI_trctab_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kks22-3/fbout_iras.npy,2646956,354571,4,provided
